timestamp,Tx,Ty,Tz,Qx,Qy,Qz,Qw
RT901_001,-0.986309,1.083984,9.437031,0.122165,-0.773425,0.621914,0.010620
RT901_002,-0.672070,1.300781,10.142500,0.123784,-0.772166,0.623244,0.002060
RT901_003,-0.080717,1.156250,10.582734,0.125059,-0.775971,0.618244,-0.001838
RT901_004,-0.544014,1.132812,10.878046,0.122871,-0.781705,0.611305,-0.012137
RT901_005,-0.682515,1.138672,10.117890,0.119493,-0.778688,0.615485,-0.023356
RT901_006,-0.162682,1.129883,10.374922,0.114639,-0.776952,0.618658,-0.021573
RT901_007,-0.645732,1.153320,9.997578,0.110582,-0.771904,0.625493,-0.026349
RT901_008,-0.722021,1.082031,10.120625,0.106143,-0.770832,0.627865,-0.018361
RT901_009,-0.542197,1.183594,10.719453,0.102326,-0.771511,0.627805,-0.012666
RT901_010,-0.653452,1.317383,10.052265,0.104670,-0.773027,0.625678,-0.001198
RT901_011,-0.749722,1.212891,10.117890,0.105017,-0.772566,0.626188,0.001597
RT901_012,-0.239993,1.066406,10.607344,0.104391,-0.780792,0.615850,0.013993
RT901_013,-0.443430,1.210938,10.446015,0.106785,-0.779885,0.616729,0.004722
RT901_014,-0.540835,1.132812,10.106953,0.108066,-0.779445,0.617078,0.001467
RT901_015,-1.240605,1.072266,9.538203,0.107232,-0.779289,0.617379,0.007247
RT901_016,-0.594419,1.120117,10.172578,0.106372,-0.778304,0.618746,0.009033
RT901_017,-1.040801,1.249023,10.033125,0.103788,-0.776659,0.621236,0.009780
RT901_018,-1.095293,1.385742,10.123360,0.100057,-0.778832,0.618941,0.017927
RT901_019,-0.749722,1.223633,10.033125,0.097783,-0.780596,0.616741,0.027206
RT901_020,-0.912290,1.252930,10.254609,0.102277,-0.783622,0.612696,0.008991
RT901_021,-1.002656,1.303711,10.446015,0.103410,-0.785180,0.610430,0.013206
RT901_022,-0.775605,1.277344,9.710468,0.112322,-0.787320,0.606185,0.007116
RT901_023,-0.792861,1.419922,10.271015,0.116247,-0.787354,0.605442,0.000780
RT901_024,-0.869150,1.350586,10.238203,0.118118,-0.785333,0.607650,-0.007919
RT901_025,-1.078945,1.295898,9.494453,0.115620,-0.783365,0.610713,-0.001152
RT901_026,-1.064414,1.303711,9.724140,0.123257,-0.792245,0.597468,-0.013702
RT901_027,-0.640283,1.312500,10.407734,0.119870,-0.795072,0.594275,-0.018123
RT901_028,-1.024453,1.247070,9.147187,0.156064,-0.789056,0.594096,-0.009214
RT901_029,-1.039893,1.201172,9.166328,0.176088,-0.798010,0.576313,-0.005951
RT901_030,-1.226982,1.268555,9.910078,0.311522,-0.757775,0.535276,-0.205455
RT901_031,-0.893218,1.249023,9.655781,0.325686,-0.776108,0.509302,-0.179435
RT901_032,-0.849170,1.125977,9.196406,0.334991,-0.777071,0.504432,-0.171726
RT901_033,-0.472720,1.192383,9.513594,0.250806,-0.787928,0.562374,-0.000290
RT901_034,-0.470449,0.971680,9.270234,0.158059,-0.734600,0.621496,0.221636
RT901_035,-0.730195,1.148438,9.532734,0.046719,0.627649,-0.578278,-0.519104
RT901_036,-0.483164,1.125000,10.292891,0.126523,0.492209,-0.575748,-0.640497
RT901_037,-0.639375,1.025391,9.059688,0.186679,0.368716,-0.525885,-0.743401
RT901_038,-0.428218,0.954102,9.885468,0.275687,0.458640,-0.320547,-0.781598
RT901_039,-0.406648,0.937500,9.817109,0.275687,0.458640,-0.320547,-0.781598
RT901_040,-0.331948,0.963867,9.808907,-0.275687,-0.458640,0.320547,0.781598
RT901_041,-0.100413,0.873047,9.494453,0.275687,0.458640,-0.320547,-0.781598
RT901_042,-0.498149,0.505371,9.770624,0.275687,0.458640,-0.320547,-0.781598
RT901_043,0.013439,0.643066,9.754219,0.186679,0.368716,-0.525885,-0.743401
RT901_044,-0.229775,0.682617,9.707734,0.186679,0.368716,-0.525885,-0.743401
