timestamp,Tx,Ty,Tz,Qx,Qy,Qz,Qw
RT901_001,-0.986309,1.083984,9.437031,0.130477,-0.746158,0.651720,0.038543
RT901_002,-0.672070,1.300781,10.142500,0.111166,-0.785326,0.608853,0.014241
RT901_003,-0.080717,1.156250,10.582734,0.124580,-0.787072,0.603786,-0.020948
RT901_004,-0.544014,1.132812,10.878046,0.128581,-0.768023,0.626937,-0.023600
RT901_005,-0.682515,1.138672,10.117890,0.130083,-0.790747,0.597909,-0.017421
RT901_006,-0.162682,1.129883,10.374922,0.119820,-0.776556,0.618414,-0.012943
RT901_007,-0.645732,1.153320,9.997578,0.094247,-0.770049,0.629596,-0.041839
RT901_008,-0.722021,1.082031,10.120625,0.100314,-0.778370,0.619623,-0.012036
RT901_009,-0.542197,1.183594,10.719453,0.108146,-0.741716,0.660236,-0.047437
RT901_010,-0.653452,1.317383,10.052265,0.107861,-0.785083,0.609511,0.022506
RT901_011,-0.749722,1.212891,10.117890,0.100705,-0.779649,0.617872,0.015522
RT901_012,-0.239993,1.066406,10.607344,0.105998,-0.777899,0.619192,0.015458
RT901_013,-0.443430,1.210938,10.446015,0.102057,-0.776146,0.622236,0.001930
RT901_014,-0.540835,1.132812,10.106953,0.105308,-0.785005,0.610300,0.014547
RT901_015,-1.240605,1.072266,9.538203,0.119775,-0.780133,0.613578,-0.023852
RT901_016,-0.594419,1.120117,10.172578,0.107119,-0.777517,0.619671,-0.000750
RT901_017,-1.040801,1.249023,10.033125,0.101748,-0.776531,0.620226,0.044351
RT901_018,-1.095293,1.385742,10.123360,0.097750,-0.771148,0.629013,0.010854
RT901_019,-0.749722,1.223633,10.033125,0.092384,-0.776755,0.622723,0.018282
RT901_020,-0.912290,1.252930,10.254609,0.101190,-0.791495,0.602504,0.016881
RT901_021,-1.002656,1.303711,10.446015,0.095750,-0.786313,0.608656,0.045634
RT901_022,-0.775605,1.277344,9.710468,0.123994,-0.789957,0.598674,-0.046726
RT901_023,-0.792861,1.419922,10.271015,0.103409,-0.778937,0.617694,0.031916
RT901_024,-0.869150,1.350586,10.238203,0.136871,-0.787140,0.601273,-0.012149
RT901_025,-1.078945,1.295898,9.494453,0.120799,-0.791627,0.598762,-0.014777
RT901_026,-1.064414,1.303711,9.724140,0.105242,-0.777169,0.620426,0.002160
RT901_027,-0.640283,1.312500,10.407734,0.111613,-0.780841,0.614544,-0.012908
RT901_028,-1.024453,1.247070,9.147187,0.141402,-0.822135,0.550592,-0.030795
RT901_029,-1.039893,1.201172,9.166328,0.119935,-0.801194,0.585262,-0.034238
RT901_030,-1.226982,1.268555,9.910078,0.299359,-0.749949,0.589125,0.029872
RT901_031,-0.893218,1.249023,9.655781,0.204963,-0.821570,0.531671,0.018423
RT901_032,-0.849170,1.125977,9.196406,0.537493,0.024939,-0.017495,-0.842718
RT901_033,-0.472720,1.192383,9.513594,0.192259,-0.878819,0.428811,0.082678
RT901_034,-0.470449,0.971680,9.270234,0.159875,-0.808113,0.566908,-0.002833
RT901_035,-0.730195,1.148438,9.532734,0.186679,0.368716,-0.525885,-0.743401
RT901_036,-0.483164,1.125000,10.292891,0.186679,0.368716,-0.525885,-0.743401
RT901_037,-0.639375,1.025391,9.059688,0.186679,0.368716,-0.525885,-0.743401
RT901_038,-0.428218,0.954102,9.885468,0.186679,0.368716,-0.525885,-0.743401
RT901_039,-0.406648,0.937500,9.817109,0.186679,0.368716,-0.525885,-0.743401
RT901_040,-0.331948,0.963867,9.808907,-0.390750,-0.417451,-0.780987,0.251215
RT901_041,-0.100413,0.873047,9.494453,0.186679,0.368716,-0.525885,-0.743401
RT901_042,-0.498149,0.505371,9.770624,0.186679,0.368716,-0.525885,-0.743401
RT901_043,0.013439,0.643066,9.754219,0.186679,0.368716,-0.525885,-0.743401
RT901_044,-0.229775,0.682617,9.707734,0.186679,0.368716,-0.525885,-0.743401
RT901_045,-0.085201,0.582031,10.213593,0.186679,0.368716,-0.525885,-0.743401
RT901_046,-0.548555,0.550293,9.677656,0.186679,0.368716,-0.525885,-0.743401
RT901_047,-0.178121,0.490967,9.447968,0.186679,0.368716,-0.525885,-0.743401
RT901_048,-0.672979,0.436768,9.551875,0.186679,0.368716,-0.525885,-0.743401
RT901_049,-0.102911,0.291260,9.691328,0.186679,0.368716,-0.525885,-0.743401
RT901_050,-0.220580,0.240112,9.253828,-0.353964,-0.349181,-0.859081,0.121496
RT901_051,-0.365325,0.401123,9.270234,-0.791640,-0.362746,-0.490063,-0.039498
RT901_052,-0.870059,0.508789,9.327656,-0.496859,-0.440179,-0.668107,0.336164
RT901_053,-0.593511,0.365479,9.292109,-0.389233,-0.414431,-0.785436,0.244611
RT901_054,-0.744727,0.391602,9.633906,-0.441831,-0.442800,-0.707801,0.328224
RT901_055,-0.455237,0.663086,9.499922,-0.354989,-0.350971,-0.857456,0.124790
RT901_056,-0.474082,0.207886,9.097969,0.186679,0.368716,-0.525885,-0.743401
RT901_057,-1.026270,0.541016,9.114375,-0.378670,-0.393898,-0.812162,0.204563
RT901_058,-0.766978,0.670410,9.141719,-0.502444,-0.441086,-0.645228,0.369694
RT901_059,-0.987217,0.776367,8.838203,0.186679,0.368716,-0.525885,-0.743401
RT901_060,-0.853711,0.722656,8.775312,-0.210909,-0.126986,-0.942486,-0.226079
RT901_061,-0.812842,0.818848,8.753437,-0.388925,-0.413571,-0.786517,0.243078
RT901_062,-0.878687,0.758301,8.898359,-0.464447,-0.416308,-0.724784,0.292686
RT901_063,-0.870967,0.660645,9.434297,0.186679,0.368716,-0.525885,-0.743401
RT901_064,-0.855073,0.814941,8.676875,-0.403833,-0.444310,-0.738545,0.306689
RT901_065,-0.781055,0.842773,9.185469,-0.384664,-0.405618,-0.797467,0.227056
RT901_066,-1.095293,1.016602,9.478046,0.186679,0.368716,-0.525885,-0.743401
RT901_067,-0.949980,0.893555,9.177265,0.186679,0.368716,-0.525885,-0.743401
RT901_068,-1.146152,0.925293,8.969453,-0.333561,-0.314902,-0.886434,0.061717
RT901_069,-1.355039,0.880859,9.221016,0.186679,0.368716,-0.525885,-0.743401
RT901_070,-1.075312,0.955078,9.368671,0.186679,0.368716,-0.525885,-0.743401
RT901_071,-1.038984,0.937500,9.349531,0.186679,0.368716,-0.525885,-0.743401
RT901_072,-1.009922,0.931641,9.467110,0.186679,0.368716,-0.525885,-0.743401
RT901_073,-1.163408,1.151367,9.313984,0.186679,0.368716,-0.525885,-0.743401
RT901_074,-1.085303,1.245117,9.811640,0.186679,0.368716,-0.525885,-0.743401
RT901_075,-0.624390,1.227539,9.705000,0.186679,0.368716,-0.525885,-0.743401
RT901_076,-1.184297,1.268555,9.674922,0.168724,-0.945983,0.275954,0.022292
RT901_077,-1.227891,1.296875,9.447968,0.186679,0.368716,-0.525885,-0.743401
RT901_078,-1.151602,1.066406,8.944843,-0.101507,-0.808541,-0.577730,0.046751
RT901_079,-1.066231,1.166016,9.185469,-0.191837,-0.806202,-0.538393,0.152869
RT901_080,-1.071680,1.075195,9.002266,0.252747,-0.955514,0.145540,-0.043942
RT901_081,-1.335967,1.090820,9.007734,0.344623,-0.870762,-0.056535,-0.346139
RT901_082,-1.205186,1.052734,9.040546,0.052399,-0.829565,0.555827,-0.011527
RT901_083,-1.140703,1.251953,9.423359,-0.008243,-0.849190,0.527948,-0.008948
RT901_084,-1.463115,1.208984,9.540937,0.034999,-0.800759,0.596674,-0.039240
RT901_085,-1.448584,1.202148,8.846406,-0.017693,-0.769611,0.631619,-0.091889
RT901_086,-1.448584,1.143555,8.958515,-0.034555,-0.820068,0.570441,-0.029869
